"x_dim","y_dim","x_y_ratio","n_neurons","radius","dist_fnc","neighbor_fnc","radius_fraction","err.quant","err.varratio","err.topo","err.kaski"
37,5,7.4,185,10.5356537528527,"euclidean","bubble",0.4813635754399,1.7335194658136,94.22,0.433282516533831,3.19061246902296
29,3,9.66666666666667,87,3.46410161513775,"sumofsquares","bubble",0.208981630392373,1.95891294376121,93.47,0.391623537391894,4.03835476078623
59,6,9.83333333333333,354,8.71779788708135,"manhattan","bubble",0.268116597319022,1.59755819631797,94.67,0.517358148210955,2.91698333146633
5,2,2.5,10,1.97255546743688,"manhattan","bubble",0.584823996061459,4.48855097840283,85.04,0.0641734780396812,4.95508413393562
29,5,5.8,145,5.19615242270663,"sumofsquares","gaussian",0.298323200084269,2.05491381716088,93.15,0.0497707308801085,2.26071699741635
21,2,10.5,42,1.73205080756888,"euclidean","gaussian",0.13614465505816,2.46111035396549,91.8,0.38938426318467,4.46717526922097
55,5,11,275,43,"manhattan","bubble",0.951076647732407,2.80141222036082,90.66,0.512943700186536,2.31197275302242
14,2,7,28,1.73205080756888,"manhattan","gaussian",0.184677852550521,3.05743457150724,89.81,0.240175004239444,3.58534914697335
46,5,9.2,230,30.5122926047847,"sumofsquares","bubble",0.88628570525907,2.23860723129862,92.54,0.179267424113956,2.16077568519137
33,6,5.5,198,28.5131548587665,"sumofsquares","bubble",0.980958309024572,2.33268787716773,92.22,0.0839048668814651,2.09690257068439
19,3,6.33333333333333,57,5.29150262212918,"manhattan","gaussian",0.474335651611909,2.71699846608809,90.94,0.193193149058843,2.59701204153356
24,3,8,72,0,"manhattan","gaussian",0.00816080858930945,2.5538589999377,91.49,0.361044768526369,3.72692898944675
23,6,3.83333333333333,138,5.19615242270663,"sumofsquares","gaussian",0.35815457906574,2.09321522948451,93.02,0.0143705273868069,2.31970163249002
40,4,10,160,11.5325625946708,"euclidean","bubble",0.486432088539004,1.81134879692957,93.96,0.380538070205189,3.35579254074155
35,6,5.83333333333333,210,21.51743479135,"euclidean","bubble",0.84884442621842,1.84048134461132,93.87,0.427637103612006,2.77684149627197
56,6,9.33333333333333,336,22,"manhattan","gaussian",0.628665467491373,2.51386802975233,91.62,0.408215872477531,1.9152541500988
26,5,5.2,130,21,"manhattan","bubble",0.961045289644971,2.35057045294862,92.16,0.34843632355435,2.47587776151799
7,6,1.16666666666667,42,1,"manhattan","gaussian",0.131382890278473,2.63963375084588,91.2,0.326737663218586,3.63277539511468
23,4,5.75,92,2,"sumofsquares","gaussian",0.114903016481549,1.95716995337948,93.48,0.247889774461591,3.31955281240879
19,5,3.8,95,1,"manhattan","bubble",0.0350697450339794,2.26167855241812,92.46,0.38826182804816,3.9448297271546
22,4,5.5,88,12.7671453348037,"sumofsquares","bubble",0.82174547133036,2.29670028878741,92.34,0.0860103442428353,2.6038344206048
23,2,11.5,46,6,"manhattan","gaussian",0.448800559155643,2.95275525238092,90.16,0.260124300491775,2.75043704615339
5,2,2.5,10,2,"sumofsquares","gaussian",0.59114783233963,4.39967697440434,85.33,0,5.26883966158859
26,6,4.33333333333333,156,17.0880074906351,"sumofsquares","gaussian",0.881920446408913,2.4043482441729,91.99,0.00537476683059183,2.14612292310745
21,3,7,63,3.60555127546399,"sumofsquares","gaussian",0.314837497891858,2.33070763433226,92.23,0.142250975072071,2.99409247850654
5,2,2.5,10,3,"euclidean","gaussian",0.855264182435349,4.44392286930211,85.19,0,5.10991402117899
35,5,7,175,16.0934769394311,"euclidean","bubble",0.710632589412853,1.92453185722931,93.58,0.263844497201967,2.57242580180606
19,5,3.8,95,12.1243556529821,"euclidean","bubble",0.868593456223607,2.23846357316174,92.54,0.0481346447346108,2.56939963784267
33,5,6.6,165,6.92820323027551,"manhattan","gaussian",0.35883848881349,2.27914067870787,92.4,0.261338985925047,2.1081182826825
26,4,6.5,104,6.2449979983984,"sumofsquares","gaussian",0.409447564277798,2.24173286085233,92.53,0.0193544175004239,2.34868064879833
32,3,10.6666666666667,96,27.5136329843952,"manhattan","bubble",0.979113092180341,3.48376881145277,88.39,0.43050178056639,2.4324634607658
13,2,6.5,26,1,"sumofsquares","bubble",0.0968009610660374,3.08464407139137,89.72,0.0145487536035272,4.04247800542226
35,6,5.83333333333333,210,7.21110255092798,"euclidean","gaussian",0.361150459153578,2.01179105854108,93.29,0.0305333220281499,2.0618768419401
26,3,8.66666666666667,78,24.0624188310319,"euclidean","gaussian",0.994881552876905,3.4365176738322,88.54,0.00420417161268442,2.36569874568032
16,2,8,32,10.5356537528527,"euclidean","gaussian",0.885029514087364,3.45958872109822,88.47,0,2.87692656736164
34,6,5.66666666666667,204,26.6270539113887,"euclidean","bubble",0.952718787360936,2.24364542199016,92.52,0.0618136340512125,2.06005857093679
21,2,10.5,42,10.5356537528527,"sumofsquares","bubble",0.746728224679828,2.65280224865744,91.16,0.214743937595387,3.50371160585467
6,3,2,18,3.46410161513775,"manhattan","bubble",0.77934326347895,3.53290017114187,88.22,0.137634559945735,4.13938142287608
71,6,11.8333333333333,426,33.0454232837166,"sumofsquares","bubble",0.715607268270105,1.96589681806888,93.45,0.228750551127692,2.00637197967446
48,5,9.6,240,1.73205080756888,"sumofsquares","gaussian",0.0341302854940295,1.55961736227094,94.8,0.397608275394268,3.54126980929544
25,3,8.33333333333333,75,15.52417469626,"manhattan","gaussian",0.851773796137422,3.06973742215647,89.77,0.270805663896897,2.31926957957861
31,3,10.3333333333333,93,19,"sumofsquares","gaussian",0.844361813273281,2.94210707637643,90.19,0.00139274207224012,2.23415413792111
